id,fg3m,fg3a,fg2m,fg2a,3pt_percent,2pt_percent
135,2,6,3,6,33.3,50.0
136,58,160,125,243,36.2,51.4
137,0,9,154,261,0.0,59.0
139,16,38,125,226,42.1,55.3
140,111,295,410,746,37.6,55.0
145,68,208,665,1143,32.7,58.2
147,6,19,197,306,31.6,64.4
153,0,0,0,0,,
158,117,360,90,182,32.5,49.5
159,13,39,18,41,33.3,43.9
160,27,105,12,37,25.7,32.4
161,152,451,633,1068,33.7,59.3
165,25,94,337,588,26.6,57.3
166,7,36,161,278,19.4,57.9
167,0,0,0,0,,
171,28,117,72,145,23.9,49.7
172,137,387,281,536,35.4,52.4
173,7,26,52,105,26.9,49.5
175,70,202,662,1292,34.7,51.2
176,0,6,417,623,0.0,66.9
177,72,235,399,660,30.6,60.5
178,130,375,166,282,34.7,58.9
180,124,346,32,69,35.8,46.4
182,81,236,240,464,34.3,51.7
184,28,66,10,22,42.4,45.5
185,51,181,209,403,28.2,51.9
187,48,127,89,128,37.8,69.5
188,54,137,141,250,39.4,56.4
189,15,52,22,56,28.8,39.3
191,221,563,153,324,39.3,47.2
192,197,486,236,508,40.5,46.5
194,0,6,127,218,0.0,58.3
196,118,266,46,110,44.4,41.8
197,76,243,40,73,31.3,54.8
199,5,17,24,46,29.4,52.2
200,153,340,355,644,45.0,55.1
201,8,31,188,338,25.8,55.6
202,73,188,243,403,38.8,60.3
203,3,10,7,15,30.0,46.7
204,47,145,221,428,32.4,51.6
206,19,77,37,59,24.7,62.7
207,1,8,91,161,12.5,56.5
210,257,617,187,350,41.7,53.4
211,43,96,43,71,44.8,60.6
213,29,80,56,123,36.2,45.5
214,158,451,440,805,35.0,54.7
215,22,102,21,29,21.6,72.4
217,8,9,60,109,88.9,55.0
219,177,452,121,212,39.2,57.1
221,198,530,227,386,37.4,58.8
223,16,30,27,52,53.3,51.9
224,0,3,5,5,0.0,100.0
226,86,216,25,47,39.8,53.2
227,61,138,248,482,44.2,51.5
228,226,520,395,701,43.5,56.3
229,5,15,27,51,33.3,52.9
231,110,305,357,614,36.1,58.1
233,0,1,0,2,0.0,0.0
235,6,20,0,5,30.0,0.0
236,83,263,146,322,31.6,45.3
237,162,529,676,1159,30.6,58.3
240,0,0,2,2,,100.0
242,5,23,22,42,21.7,52.4
243,15,34,34,61,44.1,55.7
246,113,266,896,1330,42.5,67.4
247,28,68,99,163,41.2,60.7
248,14,23,53,76,60.9,69.7
249,112,333,211,418,33.6,50.5
250,0,0,85,108,,78.7
251,64,148,63,146,43.2,43.2
252,8,17,10,22,47.1,45.5
254,140,297,71,141,47.1,50.4
257,57,149,43,59,38.3,72.9
259,67,211,99,167,31.8,59.3
260,25,54,25,60,46.3,41.7
261,4,19,163,229,21.1,71.2
265,127,447,341,661,28.4,51.6
268,195,533,434,827,36.6,52.5
272,130,296,95,216,43.9,44.0
273,0,2,20,39,0.0,51.3
274,132,296,394,759,44.6,51.9
275,7,14,14,15,50.0,93.3
277,188,433,218,490,43.4,44.5
278,184,430,173,323,42.8,53.6
282,0,1,256,422,0.0,60.7
283,185,442,392,628,41.9,62.4
284,3,5,71,100,60.0,71.0
285,135,433,120,235,31.2,51.1
286,118,366,133,236,32.2,56.4
290,84,250,92,148,33.6,62.2
296,0,2,27,48,0.0,56.2
297,197,541,417,696,36.4,59.9
301,45,146,18,41,30.8,43.9
303,188,498,367,752,37.8,48.8
304,26,62,288,489,41.9,58.9
305,136,290,115,223,46.9,51.6
306,0,1,102,156,0.0,65.4
307,55,118,22,72,46.6,30.6
313,181,465,108,271,38.9,39.9
314,11,37,129,186,29.7,69.4
315,43,150,137,254,28.7,53.9
319,58,139,41,95,41.7,43.2
320,50,131,165,308,38.2,53.6
322,242,671,447,792,36.1,56.4
324,178,497,300,547,35.8,54.8
328,129,348,189,389,37.1,48.6
329,16,39,16,29,41.0,55.2
330,59,177,144,251,33.3,57.4
334,138,425,511,955,32.5,53.5
335,216,564,418,812,38.3,51.5
337,89,201,56,87,44.3,64.4
338,42,108,42,95,38.9,44.2
340,13,32,213,324,40.6,65.7
343,19,65,56,86,29.2,65.1
344,141,376,61,104,37.5,58.7
345,2,4,7,18,50.0,38.9
347,15,66,28,49,22.7,57.1
349,36,94,181,320,38.3,56.6
351,169,429,62,160,39.4,38.8
356,74,222,119,251,33.3,47.4
357,78,220,95,199,35.5,47.7
358,108,234,176,337,46.2,52.2
359,142,354,133,230,40.1,57.8
360,122,356,255,479,34.3,53.2
367,119,296,220,471,40.2,46.7
368,72,227,107,250,31.7,42.8
370,9,44,9,15,20.5,60.0
371,0,0,352,515,,68.3
373,0,0,397,622,,63.8
375,281,649,269,512,43.3,52.5
376,8,16,4,7,50.0,57.1
377,92,273,306,553,33.7,55.3
378,169,376,400,701,44.9,57.1
379,0,3,216,287,0.0,75.3
380,112,329,257,477,34.0,53.9
383,98,240,85,170,40.8,50.0
387,250,744,484,909,33.6,53.2
390,11,38,10,26,28.9,38.5
391,106,290,138,257,36.6,53.7
393,49,130,47,78,37.7,60.3
397,80,209,48,83,38.3,57.8
399,0,0,285,433,,65.8
401,27,81,48,123,33.3,39.0
402,99,284,108,213,34.9,50.7
403,146,468,328,662,31.2,49.5
404,28,111,39,113,25.2,34.5
405,254,659,351,637,38.5,55.1
406,31,102,590,967,30.4,61.0
407,54,142,86,179,38.0,48.0
409,94,277,242,523,33.9,46.3
413,37,90,152,281,41.1,54.1
414,67,188,39,127,35.6,30.7
416,96,306,565,1059,31.4,53.4
417,0,0,107,176,,60.8
419,116,347,136,276,33.4,49.3
420,165,478,194,372,34.5,52.2
421,24,111,159,329,21.6,48.3
422,1,7,31,87,14.3,35.6
432,33,106,98,191,31.1,51.3
